id,intent,context,label
0000000,우울감,임신해서 우울해,0
0000001,우울감,아이 가지고 나서 우울해,0
0000002,우울감,아이 가졌는데 기분 하나도 안 좋고 울적해,0
0000003,우울감,임신했는데 남편이 하나도 안 챙겨줘서 우울하다,0
0000004,우울감,진단 결과 안 좋게 나올 것 같아서 우울해 ,0
0000005,우울감,먹고 싶은 거 못 먹어서 우울해,0
0000006,우울감,하고 싶은 거 못 해서 이렇게 우울할 수가 없어,0
0000007,우울감,술을 못 마시면 이렇게 우울해지는 구나,0
0000008,우울감,술 못 마시니까 진짜 우울하다,0
0000009,우울감,남편이 안 챙겨주니까 우울해지는 것 같아,0
0000010,우울감,남편이 안 챙겨줘서 진심 우울해요,0
0000011,우울감,살이 안 빠져서 우울해,0
0000012,우울감,노산이라 우울해요,0
0000013,우울감,대화가 안 통해서 우울한 것 같아,0
0000014,우울감,경력이 단절된다는 생각만 하면 우울한 것 같아요,0
0000015,우울감,대화가 안 통하니까 우울하잖아,0
0000016,우울감,오늘 상담 받고 와서 우울해요,0
0000017,우울감,유도 실패해서 개 우울해,0
0000018,우울감,재검 해야 한다고 해서 기분이 안 좋아,0
0000019,우울감,원인은 모르겠는데 자꾸 꿀꿀해,0
0000020,우울감,기분이 계속 가라앉아서 땅 속에 꺼진 느낌이야,0
0000021,우울감,별 일 없는데도 우울한 기분이 계속 돼,0
0000022,우울감,대체적으로 매일매일 우울해,0
0000023,우울감,밤에 특히 더 우울하다,0
0000024,우울감,우울하니까 물건도 집어 던져,0
0000025,우울감,우울한 상태에서 나도 모르게 화를 내버려,0
0000026,우울감,계속 우울해서 술 마셨어,0
0000027,우울감,왜 그런지 맨날 울어,0
0000028,우울감,혼자 있으면 더 우울해,0
0000029,우울감,혼자가 되면 우울해지는 것 같아,0
0000030,우울감,우울해서 담배 찾아,0
0000031,우울감,우울하면서 머리가 짓눌러지는 것 같은 느낌이 들어,0
0000032,우울감,혼자 있으면 꿀꿀해,0
0000033,우울감,오빠가 직장에 있으면 꿀꿀해지는 것 같아,0
0000034,우울감,아침에 눈뜨면 진짜 우울한 것 같아,0
0000035,우울감,우울하니까 눈물 나고..,0
0000036,우울감,착잡하니까 울고 싶고 그래,0
0000037,우울감,우울하고 착잡하니까 아무것도 못하겠어,0
0000038,우울감,혼자만 되면 왜 이렇게 우울해지는지,0
0000039,우울감,괜히 우울하니까 다른 일이라도 막 찾아서 해,0
0000040,우울감,우울해서 이대로 내가 없어질 것 같아,0
0000041,우울감,우울하니까 내가 이상해지는 것 같아,0
0000042,우울감,우울증 때문에 죽고 싶어,0
0000043,우울감,우울감이 너무 심해,0
0000044,우울감,우울증 진짜 너무 심각하다,0
0000045,우울감,우울증 개 심해,0
0000046,우울감,그냥 우울증 환자 같아,0
0000047,우울감,완전 우울을 달고 살아,0
0000048,우울감,우울한 게 통제가 안 돼,0
0000049,우울감,우울한 게 통제가 안 되요,0
0000050,우울감,우울해 죽고 싶어요,0
0000051,우울감,우울해서 힘드네,0
0000052,우울감,우울하니까 사는 맛이 안 나,0
0000053,우울감,우울해서 미치겠어,0
0000054,우울감,꿀꿀하니까 세상이 싫어져,0
0000055,우울감,아무리 노력해도 우울한 건 해결이 안 되는 것 같아,0
0000056,우울감,운동을 해도 우울해,0
0000057,우울감,맛있는 걸 먹어도 우울하다니까,0
0000058,우울감,세상이 꺼지는 것 같아,0
0000059,우울감,진짜 누가 위로 좀 해줬으면 좋겠어,0
0000060,우울감,어쩐지 갑자기 우울하더라,0
0000061,우울감,맞아 요즘 우울할 때가 많아,0
0000062,우울감,맞아 요즘 되게 우울했어,0
0000063,우울감,그래도 우울하단 말야,0
0000064,우울감,그래도 우울한 걸요,0
0000065,우울감,우울한 건 어쩔 수가 없어,0
0000066,우울감,그래도 우울해,0
0000067,우울감,자꾸 우울감이 들어,0
0000068,우울감,우울한 건 어쩔 수 없어,0
