id	intent	context	label
0011122	초조함	내 미래를 생각하니까 너무 갑갑해	10
0003694	외로움	울적해지지 않으려고 해도 왜 이렇게 울적한지	2
0003391	슬픔	볼때마다 안쓰럽고 슬프고.	1
0015876	자신감저하	내가 많이 위축된 거 같아	14
0002858	슬픔	유리병 깨서 손목 긋고 발로 밟고 피 흘리면서 오열을 했어	1
0008926	불면	자꾸 신경쓰여서 조금 자게 돼	9
0002508	슬픔	진짜 분통이 터지고 힘든 것 같아	1
0015416	죄책감	좋기도 했는데… 굉장히 죄책감이 들었어요.	12
0018166	자살충동	뒤져버리고 싶은 건 남편이 가장 큰 이유야	17
0018099	절망감	그냥 하루 하루 희망이 없어.	16
0017987	절망감	그 얘기 듣자마자 진짜 세상이 무너지는 것 같더라.	16
0001780	슬픔	밤에는 마음이 싱숭생숭해지면서 화가 나고 답답해	1
0002221	슬픔	자연분만 성공률이 없다고 하니까 그간 고생한 게 너무 안타까운 거야	1
0008025	식욕저하	하루에 한 끼 먹으면 많이 먹는 거일 정도로 입맛 없어서 그냥 틈만 나면 굶었어.	7
0009441	불면	누가 내 성욕을 싹 빼앗아간 것 같아	9
0015882	자신감저하	나 스스로도 내가 위축됐다는 생각이 글고	14
0018266	자살충동	너무 지쳐서 인생 끝내버리고 싶어	17
0007608	식욕저하	가족들때문에 성격이 과민해졌어	7
0018176	자살충동	살려는 마음이 안 들어	17
0008760	불면	평생 못 잘 것만 같은 기분이 들어	9
0004337	분노	아무리 원망의 눈초리를 보내도 모른다니까	3
0019444	불안	계속 불안해서 이상했는데.	18
0015259	죄책감	제 자신이 너무 싫어요.	12
0007673	식욕저하	구속당하는 기분이라 울렁거려	7
0018614	자살충동	한달동안 생각은 엄청 많이 했어요. 외국의 유명한 살인자들 보면 독극물살인도 많이 하더라고요.	17
0008100	식욕저하	살도 엄청 빠졌더라고. 2주 만에 8kg가 빠졌거든.	7
0012906	초조함	애가 제 눈 앞에 있는데도 초조해지고…	10
0013936	피로	찌뿌둥해서 내 몸이 내 몸 같지가 않아	11
0000443	우울감	인생 노잼시기가 온 것 같아서 우울해	0
0012202	초조함	걱정만 하고, 막상 학교를 갈 생각은 없어.	10
0018709	자살충동	40알 정도 되는걸 한꺼번에 먹었어.	17
0019345	불안	몸도 마음도 너무 불안하고 불편해.	18
0000708	우울감	잠자는 것도 힘드니까 진짜 우울하다	0
0013618	피로	좀 많이 누워있는 거 같긴 해	11
0000289	우울감	기분이 조금이라도 처지면 의욕이 사라져요	0
0008344	식욕증가	앉으면 허벅지 살이 막 퍼져	8
0009948	불면	정말로 민감해서 한숨도 못 자.	9
0008153	식욕저하	아픈 사람처럼 얼굴 살이 빠져서 거울을 볼 때마다 너무 스트레스 받아.	7
0008109	식욕저하	밥도 거의 굶다시피해서 살이 30kg빠졌어.	7
0003904	외로움	인생이 고독한 것 같아	2
0017884	절망감	인생 하찮아	16
0009259	불면	밤만 되면 특히 더 늘어져	9
0003714	외로움	그냥 울적한 시기인 걸까	2
0017873	절망감	인생이 하찮다	16
0006118	무기력	벌어먹고 사는 게 왜 이렇게 어려운 건지.	4
0018363	자살충동	눈앞에 베란다가 보이면, 저기로 내가 떨어져서 죽으면 어떨까 그런 생각이 계속 머릿속을 맴돌아...	17
0004050	외로움	남자친구가 있어도 일년에 몇번밖에 못보니까 외롭더라구.	2
0010524	초조함	안절부절못해서 손톱을 다 뜯어먹었어	10
0002460	슬픔	앞으로 날 위한 시간이 없을 것 같아서 너무 억울해져	1
