utterance	label_0	label_1	label_2
무리한 것도 아닌데 몸이 처진다	10	20	70
이럴 거면 왜 나를 낳은 건지.. 모르겠어.	5	90	5
소화가 안 되니까 죽어버리고 싶어	10	20	70
그 당시에 제가 아주 죽고 싶었다는 것밖에는 생각이 안 나요.	20	70	10
집중력이 점점 떨어지고 있어요	5	5	90
슬럼프 때문에 아무것도 못하고 그래서 더 슬럼프가 오고 완전 악순환이야	10	20	70
정기검진 다녀오면 슬럼프를 겪어	5	5	90
근데 전혀 위로 안 되고 그냥 다 포기해버리고 싶어.	10	70	20
겨울 되면 더 찌는 것 같아	5	5	90
그 이후로도 우울함은 항상 있어요.	5	5	90
요즘 내가 할 수 있는 일이 집안일 밖에 없다는 생각만 들어.	10	10	80
뭘 고를지 너무 오래 고민한다	10	10	80
오빠가 너무 바빠서 입맛도 안 생기고 우울한가 봐	20	10	70
옷이 다 너무 커졌을 정도로 살이 빠졌어	10	10	80
저도 그래서 그거 때문에 정말 많이 힘들었거든요.	10	10	80
멘탈이 산산조각이 되는 것 같고 힘들어	80	10	10
자꾸만 우울해지니까 아무것도 하기 싫어	80	10	10
남편이 무알콜 맥주도 못 마시게 하니까 속이 상하잖아	10	20	70
남편이 조금만 뭐라고 해도 나를 조롱하는 것처럼 느껴져.	20	70	10
그 순간에 아빠를 죽여버리고 싶었어.	80	10	10
진짜 죽여버리고 싶었어요.	80	10	10
맨날 외롭다는 생각에 밤마다 잠도 안 오고… 너무 힘들다.	5	90	5
입맛도 없고 먹어서 뭐하나 싶고…	5	5	90
자꾸 의욕이 없으면 어떡하지	5	5	90
빈 속이라 속도 안 좋고….	10	20	70
내가 전부 망가뜨린 거 같아서 죄책감이 들어	20	70	10
요즘 너무 우울해서 계속 눈물만 나요.	20	10	70
자꾸 혼나는 기분이 들어서 아무것도 안 하게 돼	80	10	10
항암 치료만 받고 오면 속이 메스껍고 소변도 자주 나오는데, 견딜 만해.	10	10	80
죽고 싶단 말을 밥먹듯이 해.	5	90	5
나락으로 떨어질 거 같은 느낌	5	5	90
입맛이 너무 없어서 아무것도 못 먹어서 힘이 없어요.	5	5	90
원래 약 먹는 걸 싫어해서 버티다가 결국 너무 힘들어가지고…	80	10	10
입맛도 없어.	20	10	70
우울, 불안 검사상 점수가 좀 높게 나온거야.	10	10	80
눈초리가 너무 따갑게 느껴져.	10	80	10
얼굴 때문에 면접에서 떨어지는 건가.	5	90	5
계속 이러다 보니까 되게 무기력해지는 것 같아.	10	20	70
미국에서 지내는 동안 정말 힘들었어요.	20	10	70
애기 들어서고 나서 너무 잠을 많이 자	5	5	90
하루 종일 집에만 있었어요.	20	10	70
제초제도 먹고 수면제도 30알을 한번에 먹었어.	10	70	20
멍해서 아무 생각도 안 들고…	5	5	90
집중이 안돼서 책도 20분 읽고 못 읽겠고 답답해 	10	20	70
수면 양이 확 줄었네	10	20	70
화장실 갈 때랑 밥 먹을 때만 방 밖으로 나와요.	5	5	90
속이 메스꺼워서 꼭 토할 것 같았어.	10	20	70
병원 가서 진료 받을 때 특히 나를 무시하는 느낌이 많이 들어.	20	70	10
소파에 늘어져서 TV만 보지	5	5	90
가슴이 미어지고 모든 게 다 내 잘 못 같아요	20	70	10
뭔가 이렇게 생각하는 거 보면 내가 너무 엄살 부리는 것 같아서 한심하다.	10	70	20
식사량이 심각하게 줄었어	10	10	80
아침에 눈 뜰 때가 제일 힘들었던 것 같아.	20	10	70
예전부터 죽고 싶다는 생각을 많이 했어.	5	90	5
그땐 정말 정신적으로, 육체적으로 힘들었어요.	5	5	90
이거 때문에 대인기피증 걸리고 우울증도 너무 심했어요.	10	20	70
애들만 아니면 그냥 연탄가스라도 피워서 죽어버리고 싶다.	5	90	5
식욕도 없고 무기력해 미치겠다	10	10	80
도저히 버틸 자신이 없어.	10	10	80
입맛이 너무 없어서 아무것도 못 먹고 물만 마시고 있어요.	5	5	90
그때부터 달달구리는 무조건 입에 집어넣었어요.	10	10	80
살찌는 내가 너무 끔찍하게 느껴지면서 	5	90	5
의욕도 사라지고 내 인생도 허무해	10	10	80
어제는 어디 아파트에서 뛰어내릴지 생각하고 있더라고.	10	80	10
혼자 있으면 꿀꿀해	70	10	20
억지로 외출을 해봐도 여전히 의욕이 없고 초조한 기분이야	10	20	70
수면 시간 길었는데도 전혀 안 잔 것만 같아요	5	5	90
심각할 정도로 식욕이 안 들어	20	10	70
모든 일에 다 짜증이 나	10	80	10
절친까지 나를 비난하니까 내가 무가치한 인간처럼 느껴졌어	10	70	20
집 안에만 있으니까 뱃살만 늘어난다	20	10	70
피곤해서 팔다리가 무거워	20	10	70
남편때문에 자꾸 뒤척여	20	10	70
